Dorm	Gender	Residents
Brock Hall	male	182
Carr Hall	male	76
Faith Hall	male	66
Gromacki Hall	male	42
Harriman Hall	male	3
Lawlor Hall	male	285
Marshall Hall	male	69
McChesney Hall	male	122
Murdoch Hall	male	168
Palmer Hall	male	19
Parker Hall	male	144
Rickard Hall	male	153
Rogers Hall	male	28
Shrubsole House	male	7
St Clair Hall	male	122
Walker Hall	male	64
West Hall	male	79
Bates Hall	female	131
Diehl Johnson Hall	female	170
Jenkins Hall	female	59
Johnson Hall	female	121
Maddox Hall	female	223
McKinney Hall	female	119
Morton Hall	female	116
Murphy Hall	female	132
Printy Hall	female	279
Rooke Hall	female	48
South Hall	female	8
Willetts Hall	female	307
Wood Hall	female	114
Cedar Park	mixed	21
College View Apartment A	mixed	48
College View Apartment B	mixed	48
College View Apartment C	mixed	46
College View Apartment D	mixed	47
